,"citrus fruit,semi-finished bread,margarine,ready soups"
1001,"whipped/sour cream,cream cheese,bottled water,canned beer,shopping bags"
1002,"berries,root vegetables,other vegetables,butter,hard cheese,domestic eggs,rolls/buns,fruit/vegetable juice,sparkling wine,hygiene articles"
1003,"berries,dessert,whipped/sour cream,white bread,coffee,shopping bags"
1004,"rolls/buns,long life bakery product"
1005,"ice cream,long life bakery product"
1006,"coffee,fruit/vegetable juice,dishes"
1007,"whole milk,butter,pasta,misc. beverages"
1008,whole milk
1009,"citrus fruit,berries,butter milk,yogurt"
1010,"beef,grapes,nuts/prunes,root vegetables,onions,other vegetables,cream,soft cheese,sliced cheese,hard cheese,domestic eggs,rolls/buns,pastry,mustard,specialty chocolate,specialty bar,dental care,shopping bags"
1011,"pork,citrus fruit,grapes,root vegetables,whole milk,ready soups,potted plants"
1012,"turkey,tropical fruit,pip fruit,root vegetables,other vegetables,curd,butter milk,yogurt,curd cheese,rice,vinegar,margarine"
1013,"margarine,newspapers"
1014,"butter milk,yogurt"
1015,"beef,tropical fruit,onions,other vegetables,whole milk,butter,curd,butter milk,yogurt,domestic eggs,white bread,pastry,shopping bags"
1016,bottled water
1017,"pip fruit,whole milk,domestic eggs,bottled water,long life bakery product"
1018,"whole milk,rice"
1019,chocolate
1020,"frankfurter,chicken,butter milk,margarine,long life bakery product"
1021,"whole milk,white bread"
1022,"sausage,root vegetables,domestic eggs,dish cleaner"
1023,"grapes,zwieback,soda,waffles"
1024,brown bread
1025,"root vegetables,other vegetables,cream cheese,pasta,oil,margarine,salty snack,potted plants"
1026,"UHT-milk,bottled water"
1027,onions
1028,"beef,bottled water,misc. beverages,specialty chocolate,shopping bags"
1029,"pork,whole milk,rolls/buns,bottled beer"
1030,"canned beer,specialty chocolate,candy,shopping bags"
1031,"yogurt,margarine"
1032,"yogurt,whipped/sour cream,flour,margarine,sugar,baking powder,cat food,soda,fruit/vegetable juice,chocolate,hygiene articles,napkins,newspapers"
1033,"pip fruit,curd,dessert,yogurt,specialty chocolate,specialty bar,newspapers,shopping bags"
1034,"meat,chicken,root vegetables,whole milk,oil"
1035,"coffee,misc. beverages,bottled beer"
1036,bottled water
1037,"bottled beer,liquor"
1038,"sausage,whole milk,whipped/sour cream,pasta,pet care,fruit/vegetable juice"
1039,shopping bags
1040,"pork,herbs,other vegetables,yogurt,domestic eggs,specialty bar,dishes"
1041,"frankfurter,other vegetables,specialty cheese,chewing gum"
1042,ice cream
1043,"root vegetables,other vegetables,spread cheese,margarine,canned beer"
1044,"sausage,tropical fruit,grapes,other vegetables,processed cheese,frozen meals,domestic eggs,white bread,salty snack,newspapers"
1045,"sausage,citrus fruit,pip fruit,root vegetables,other vegetables,whole milk,yogurt,whipped/sour cream,spread cheese,frozen vegetables,pastry,instant coffee,soda,fruit/vegetable juice,hygiene articles"
1046,root vegetables
1047,canned vegetables
1048,"tropical fruit,whole milk,white bread,brown bread,misc. beverages,bottled beer"
1049,"grapes,yogurt,UHT-milk,soft cheese,rolls/buns,fruit/vegetable juice,candy,dental care,newspapers,shopping bags"
1050,"whole milk,pastry"
1051,"frankfurter,whole milk,yogurt,domestic eggs,brown bread,margarine,fruit/vegetable juice,canned beer,shopping bags"
1052,"dessert,bottled water,soda"
1053,shopping bags
1054,"butter,rolls/buns,salt"
1055,"frankfurter,ham,chicken,whole milk,butter,processed cheese,frozen vegetables,white bread,pastry,soda,fruit/vegetable juice,red/blush wine,chocolate,potted plants"
1056,"pork,ice cream,soda,cake bar"
1057,"whole milk,rolls/buns,roll products,zwieback,bottled beer"
1058,brown bread
1059,"frozen fish,canned beer,red/blush wine"
1060,"soda,misc. beverages"
1061,"whole milk,frozen vegetables"
1062,"pork,hamburger meat,pip fruit,grapes,root vegetables,other vegetables,whole milk,yogurt,cream cheese,frozen dessert,sugar,meat spreads,soda,fruit/vegetable juice"
1063,whipped/sour cream
1064,"frankfurter,pip fruit,root vegetables,curd,yogurt,UHT-milk,white bread,pastry,instant coffee,waffles,dish cleaner"
1065,"grapes,other vegetables,whole milk,butter,toilet cleaner,newspapers"
1066,"sausage,grapes,butter,curd,yogurt,whipped/sour cream,beverages,UHT-milk,sliced cheese,processed cheese,rolls/buns,pastry,chocolate"
1067,"citrus fruit,white bread,liquor,specialty bar,shopping bags"
1068,"ham,butter,yogurt,hard cheese,ice cream,domestic eggs,misc. beverages,fruit/vegetable juice"
1069,chewing gum
1070,beef
1071,"beef,tropical fruit,pip fruit,grapes,root vegetables,processed cheese,rolls/buns,white bread,pastry,pasta,specialty vegetables,cat food,soda,misc. beverages"
1072,"other vegetables,whole milk,yogurt,specialty cheese,cereals,bottled beer,long life bakery product"
1073,"frankfurter,sausage,ham,other vegetables,domestic eggs,rolls/buns,pastry,long life bakery product,specialty bar,chocolate marshmallow"
1074,canned fish
1075,"sausage,other vegetables,whole milk,sliced cheese,white bread,baking powder,pickled vegetables,rum"
1076,"bottled water,soda,fruit/vegetable juice,long life bakery product,chewing gum,candy"
1077,specialty cheese
1078,"bottled water,soda"
1079,"bottled water,soda,chewing gum"
1080,"chicken,beef,whole milk,curd,brown bread,pastry,sauces,pickled vegetables,bottled water,soda,salty snack,waffles,specialty bar,napkins,light bulbs"
1081,"frankfurter,tropical fruit,dessert,pastry,flour,margarine,sugar,artif. sweetener,sauces,rum,skin care"
1082,"chicken,citrus fruit,root vegetables,other vegetables,whole milk,yogurt,hard cheese,processed cheese,mayonnaise,frozen vegetables,pastry,roll products,rice,margarine,sugar,pickled vegetables,bottled water,fruit/vegetable juice,candy,skin care,napkins"
1083,"chicken,tropical fruit,whole milk,condensed milk,soft cheese,processed cheese,domestic eggs,white bread,pastry,semi-finished bread,soda,long life bakery product,waffles,specialty chocolate,napkins,dishes,kitchen towels,shopping bags"
1084,"butter,rolls/buns,pastry,bottled water,canned beer,waffles"
1085,"citrus fruit,root vegetables,dessert,yogurt,UHT-milk,brown bread"
1086,"whipped/sour cream,beverages,liquor (appetizer)"
1087,"frankfurter,turkey,citrus fruit"
1088,"beef,citrus fruit,other vegetables,whole milk,domestic eggs,rolls/buns,brown bread,coffee,soda,salty snack,shopping bags"
1089,"chicken,other vegetables,white wine,specialty chocolate"
1090,"sausage,finished products,tropical fruit,pip fruit,other vegetables,butter,curd,dessert,butter milk,yogurt,whipped/sour cream,soft cheese,frozen vegetables,rolls/buns,white bread,brown bread,pastry,pasta,soups,baby food,fruit/vegetable juice,salty snack,waffles,cake bar,chocolate,shopping bags"
1091,"citrus fruit,whole milk,butter,dessert,UHT-milk,flower (seeds),shopping bags"
1092,"ice cream,coffee,waffles"
1093,specialty chocolate
1094,"frankfurter,herbs,yogurt,UHT-milk,mayonnaise,frozen vegetables,margarine,bottled water,soda,salty snack,seasonal products,detergent,potted plants"
1095,pork
1096,"UHT-milk,vinegar,waffles,chocolate"
1097,"UHT-milk,domestic eggs,brown bread,coffee,soda,canned beer,liquor (appetizer),newspapers"
1098,cookware
1099,"citrus fruit,butter,UHT-milk,margarine,bottled beer"
1100,"sausage,hamburger meat,tropical fruit,onions,other vegetables,butter,yogurt,white bread,brown bread,margarine,cat food"
1101,"frankfurter,root vegetables,other vegetables,domestic eggs,rolls/buns,pastry,soups,Instant food products,bottled water"
1102,"citrus fruit,yogurt,UHT-milk,cream cheese,dish cleaner,house keeping products,shopping bags"
1103,"ham,whole milk,processed cheese,white bread,semi-finished bread,bottled water,soda,fruit/vegetable juice,popcorn,chewing gum,shopping bags"
1104,"ham,chicken,citrus fruit,pip fruit,herbs,other vegetables,butter,napkins"
1105,"bottled water,canned beer"
1106,"popcorn,candy"
1107,"tropical fruit,pip fruit,other vegetables,cream cheese,soda,bottled beer"
1108,"frankfurter,sausage,UHT-milk,frozen meals,frozen dessert,domestic eggs,rolls/buns,pastry,mustard,coffee"
1109,"hamburger meat,citrus fruit,packaged fruit/vegetables,rolls/buns,vinegar,cocoa drinks,specialty chocolate"
1110,"soda,candy"
1111,"sausage,root vegetables,rolls/buns,bottled water,white wine,flower (seeds)"
1112,"yogurt,sliced cheese,frozen vegetables,frozen meals,pickled vegetables,coffee,instant coffee"
1113,"meat,other vegetables,whole milk,yogurt,soft cheese,sliced cheese,domestic eggs,margarine,cat food,pet care,coffee,bottled beer,red/blush wine,dish cleaner,napkins,kitchen towels"
1114,red/blush wine
1115,"UHT-milk,instant coffee"
1116,brown bread
1117,semi-finished bread
1118,"whole milk,soda,misc. beverages,shopping bags"
1119,"cat food,dish cleaner,shopping bags"
1120,"citrus fruit,tropical fruit,pip fruit,grapes,root vegetables,other vegetables,whole milk,curd,dessert,whipped/sour cream,UHT-milk,frozen vegetables,frozen meals,bottled water,fruit/vegetable juice,specialty chocolate,napkins"
1121,"citrus fruit,other vegetables,butter,soda,bottled beer,canned beer,waffles,chocolate,seasonal products"
1122,"meat,other vegetables,packaged fruit/vegetables,cream cheese,margarine,bottled water,salty snack"
1123,rolls/buns
1124,"root vegetables,whipped/sour cream,salt,fruit/vegetable juice,salty snack"
1125,"tropical fruit,other vegetables,whole milk,curd,whipped/sour cream,bottled beer"
1126,"brown bread,oil,sugar,soda,bottled beer"
1127,shopping bags
1128,"grapes,brown bread,bottled beer,white wine"
1129,"ham,tropical fruit,cream cheese,processed cheese,white bread,candy"
1130,"root vegetables,skin care"
1131,"ice cream,misc. beverages,canned beer,napkins,shopping bags"
1132,"tropical fruit,other vegetables,bottled water,bottled beer,napkins"
1133,"finished products,other vegetables,soda,fruit/vegetable juice"
1134,dessert
1135,sparkling wine
1136,"other vegetables,yogurt,oil,dental care"
1137,misc. beverages
1138,"other vegetables,nut snack"
1139,misc. beverages
1140,"dessert,yogurt,UHT-milk,soda,canned beer,light bulbs"
1141,"frankfurter,tropical fruit,cream cheese,rolls/buns,fruit/vegetable juice,kitchen towels,newspapers"
1142,"sausage,citrus fruit,pip fruit,yogurt,beverages,sliced cheese,sugar,bottled water,soda,cake bar"
1143,"meat,citrus fruit,root vegetables,other vegetables,whipped/sour cream,semi-finished bread,salty snack"
1144,"sausage,yogurt,pastry,margarine,soda,bottled beer,flower (seeds)"
1145,onions
1146,"beef,citrus fruit,onions,herbs,other vegetables,whole milk,yogurt,whipped/sour cream,specialty cheese,brown bread,canned vegetables,bottled water,dish cleaner,abrasive cleaner,hygiene articles"
1147,"pip fruit,other vegetables,butter,yogurt,whipped/sour cream,brown bread,pastry,fruit/vegetable juice,detergent"
1148,"ham,hamburger meat,onions,other vegetables,processed cheese,frozen vegetables,domestic eggs,rolls/buns,white bread,cookware,shopping bags"
1149,"yogurt,newspapers"
1150,"citrus fruit,grapes,curd,bottled water,waffles"
1151,"other vegetables,sugar"
1152,"pork,frozen meals,frozen fish,shopping bags"
1153,bathroom cleaner
1154,"ham,grapes,spread cheese,ice cream,frozen potato products,white bread,oil,pudding powder"
1155,"grapes,specialty cheese,pasta,coffee,bottled water,soda,canned beer,brandy,white wine"
1156,pastry
1157,"citrus fruit,bottled water,red/blush wine,photo/film"
1158,photo/film
1159,"dessert,white bread"
1160,"citrus fruit,tropical fruit,pip fruit,long life bakery product"
1161,soda
1162,chewing gum
1163,"root vegetables,sliced cheese,soda,bottled beer"
1164,"pork,other vegetables"
1165,"turkey,whole milk,UHT-milk,fruit/vegetable juice"
1166,"tropical fruit,other vegetables,soda,candy,shopping bags"
1167,"sausage,other vegetables,pasta,oil,margarine,coffee,syrup,canned beer,napkins,light bulbs,shopping bags"
1168,"sausage,meat,other vegetables,brown bread,canned fish,bottled water,canned beer,liquor (appetizer),shopping bags"
1169,"pork,tropical fruit,other vegetables,dessert,yogurt,roll products,flour,rice,coffee,bottled water,soda,fruit/vegetable juice,canned beer,salty snack"
1170,"sausage,citrus fruit,pip fruit,mayonnaise,brown bread,shopping bags"
1171,"grapes,chocolate,light bulbs"
1172,"grapes,pastry,salty snack,light bulbs,shopping bags"
1173,"other vegetables,yogurt,processed cheese,ketchup,bottled water,male cosmetics"
1174,potted plants
1175,"bottled water,potted plants"
1176,"prosecco,hygiene articles,potted plants"
1177,"UHT-milk,soda,dish cleaner,napkins"
1178,"bottled water,soda,chewing gum,specialty chocolate,candy"
1179,"rolls/buns,canned fish,canned beer"
1180,specialty chocolate
1181,"beef,other vegetables,butter milk,yogurt,whipped/sour cream,cream cheese,white bread,fruit/vegetable juice,bottled beer,chocolate"
1182,"tropical fruit,pasta,bottled water"
1183,"beef,root vegetables,other vegetables,butter,yogurt,rolls/buns,flour"
1184,"rolls/buns,white wine"
1185,"berries,root vegetables,whipped/sour cream,roll products,bottled beer"
1186,"sausage,hamburger meat,whole milk,rolls/buns,oil,pickled vegetables,softener,hygiene articles"
1187,"chicken,pork,beef,whole milk,curd,whipped/sour cream"
1188,"sausage,citrus fruit,whole milk,cream cheese,processed cheese,frozen vegetables,rolls/buns,pastry,fruit/vegetable juice,chewing gum"
1189,shopping bags
1190,canned beer
1191,"soda,canned beer"
1192,"yogurt,UHT-milk,rolls/buns"
1193,"rolls/buns,red/blush wine,newspapers"
1194,"rolls/buns,coffee"
1195,"whole milk,brown bread"
1196,"citrus fruit,root vegetables,other vegetables,whole milk,curd,yogurt,whipped/sour cream,hard cheese,cream cheese,domestic eggs,flour,rice,oil,margarine,sugar"
1197,"citrus fruit,tropical fruit,grapes,whole milk,brown bread,pastry"
1198,"brown bread,chocolate"
1199,"tropical fruit,other vegetables,whipped/sour cream,UHT-milk,frozen vegetables,oil,margarine,fruit/vegetable juice,kitchen towels"
1200,"frankfurter,tropical fruit,butter,whipped/sour cream,frozen vegetables,rolls/buns,sugar,baking powder,bottled water,misc. beverages,long life bakery product,newspapers"
1201,coffee
1202,"ham,rolls/buns,bottled beer,chewing gum"
1203,"other vegetables,curd,yogurt,pickled vegetables,bottled water"
1204,"sausage,whole milk,curd,butter milk,whipped/sour cream"
1205,"pork,whole milk,margarine,soda,canned beer,newspapers"
1206,"citrus fruit,yogurt,whipped/sour cream,soda,cookware"
1207,"tropical fruit,whole milk,domestic eggs,pastry,hygiene articles"
1208,"other vegetables,yogurt,cream cheese"
1209,"pork,whole milk,sugar,soda,long life bakery product,chocolate"
1210,"chicken,pork,pip fruit,other vegetables,whole milk,tidbits,frozen fish,rolls/buns,margarine,baking powder,soda,bottled beer,white wine,waffles,chocolate,candy"
1211,"root vegetables,whole milk,yogurt,rolls/buns,potted plants"
1212,"citrus fruit,cake bar,baby cosmetics,shopping bags"
1213,fruit/vegetable juice
1214,"beef,tropical fruit,whole milk,ice cream,cat food"
1215,"frankfurter,sausage,liver loaf,ham,chicken,beef,citrus fruit,tropical fruit,root vegetables,other vegetables,whole milk,butter,curd,yogurt,whipped/sour cream,beverages,soft cheese,hard cheese,cream cheese,mayonnaise,domestic eggs,rolls/buns,roll products,flour,pasta,margarine,specialty fat,sugar,soups,skin care,hygiene articles,candles"
1216,"frankfurter,pip fruit,other vegetables,yogurt,spread cheese,rolls/buns,white bread,pastry,coffee,soda,waffles,hygiene articles"
1217,"beef,hamburger meat,other vegetables,rolls/buns,brown bread,bottled water,soda,bottled beer,canned beer"
1218,"ham,pork,hamburger meat,pip fruit,other vegetables,whole milk,butter,curd,dessert,butter milk,whipped/sour cream,domestic eggs,brown bread,roll products,hygiene articles"
1219,shopping bags
1220,"pork,root vegetables,other vegetables,specialty fat,sugar,baking powder,cat food,salty snack,waffles,shopping bags"
1221,"condensed milk,bottled water,misc. beverages,bottled beer,bathroom cleaner"
1222,"chicken,bottled beer,red/blush wine,newspapers"
1223,"sausage,meat,butter,domestic eggs,cat food"
1224,"bottled beer,potted plants"
1225,"chicken,pork,grapes,other vegetables,domestic eggs,rolls/buns,pastry,soda,specialty bar"
1226,"finished products,other vegetables,whole milk,whipped/sour cream,margarine,cereals,soda,salty snack"
1227,"pork,beef,citrus fruit,berries,root vegetables,other vegetables,whole milk,yogurt,cream cheese,vinegar,oil,cat food,specialty chocolate,detergent,dish cleaner,abrasive cleaner,cleaner,hygiene articles,shopping bags"
1228,"root vegetables,whole milk,yogurt,frozen potato products"
1229,"domestic eggs,seasonal products,shopping bags"
1230,"domestic eggs,specialty bar,seasonal products,shopping bags"
1231,"bottled water,soda"
1232,cling film/bags
1233,"other vegetables,rolls/buns,bottled water,fruit/vegetable juice,canned beer,whisky,shopping bags"
1234,whole milk
1235,"sausage,meat,pork,whole milk,butter,whipped/sour cream,frozen vegetables,frozen dessert,white bread,brown bread,pastry,coffee"
1236,"sausage,mayonnaise,rolls/buns,canned beer,shopping bags"
1237,"tropical fruit,sliced cheese,domestic eggs,zwieback"
1238,"frankfurter,beef,tropical fruit,pip fruit,butter,yogurt,dog food,long life bakery product,cookware,newspapers"
1239,"frozen potato products,potted plants"
1240,"frankfurter,sausage,packaged fruit/vegetables,soda"
1241,"frankfurter,other vegetables,zwieback"
1242,"chicken,tropical fruit,pip fruit,root vegetables,herbs,other vegetables,dessert,yogurt,whipped/sour cream,beverages,brown bread,cat food,shopping bags"
1243,"tropical fruit,pip fruit,other vegetables,whole milk,napkins,dishes,flower (seeds)"
1244,bottled beer
1245,"citrus fruit,grapes,rolls/buns,pastry,coffee,soda"
1246,"hamburger meat,pip fruit,whole milk,curd,beverages,brandy,male cosmetics,cookware,shopping bags"
1247,"chicken,berries,mayonnaise,frozen vegetables,salty snack,newspapers"
1248,pork
1249,rolls/buns
1250,bottled water
1251,"sausage,tropical fruit,whole milk,yogurt,processed cheese,pastry,margarine,Instant food products,coffee,popcorn,house keeping products"
1252,"frozen potato products,bottled water,soda"
1253,"frankfurter,whole milk,whipped/sour cream,curd cheese,domestic eggs,margarine,baking powder,cat food,bottled water,canned beer,candy,napkins"
1254,"sausage,root vegetables,other vegetables,whole milk,butter,whipped/sour cream,processed cheese,sugar,baking powder,jam,coffee,bottled water,soda,fruit/vegetable juice,salty snack,long life bakery product,candy,napkins"
1255,"tropical fruit,dessert,sweet spreads,fruit/vegetable juice"
1256,bottled beer
1257,bottled beer
1258,"rolls/buns,brown bread"
1259,"citrus fruit,tropical fruit,whole milk,coffee"
1260,"yogurt,softener"
1261,"turkey,pork,beef,hamburger meat,tropical fruit,root vegetables,onions,other vegetables,whole milk,butter,butter milk,yogurt,rolls/buns,oil,fruit/vegetable juice,waffles,candy"
1262,"soda,softener"
1263,canned beer
1264,canned beer
1265,"sausage,other vegetables,whole milk"
1266,"pork,root vegetables,whole milk,curd,whipped/sour cream,rolls/buns,white bread,canned vegetables,soda,cleaner"
1267,Instant food products
1268,"frankfurter,sausage,tropical fruit,whole milk,yogurt,pastry,sugar,bottled water,soda,fruit/vegetable juice"
1269,"oil,dental care,newspapers"
1270,"chicken,hamburger meat,other vegetables,rolls/buns,shopping bags"
1271,"beef,domestic eggs,rolls/buns,flour,candy"
1272,"dessert,UHT-milk,bottled water,soda,canned beer,chewing gum,softener,shopping bags"
1273,"pork,citrus fruit,other vegetables,domestic eggs,margarine,canned beer"
1274,"curd,whipped/sour cream,flour,baking powder,newspapers"
1275,"chicken,red/blush wine"
1276,whipped/sour cream
1277,"frankfurter,ham,root vegetables,onions,whole milk,yogurt,rolls/buns,white bread,brown bread,margarine"
1278,"frankfurter,root vegetables,rolls/buns,pastry,mustard,bottled beer,shopping bags"
1279,"liver loaf,root vegetables,pet care,waffles,chocolate"
1280,"pork,root vegetables,onions,other vegetables,whole milk,napkins,shopping bags"
1281,"frankfurter,liver loaf,turkey,UHT-milk,pasta,waffles,chocolate,dental care,dishes"
1282,"pork,citrus fruit,root vegetables,other vegetables,whole milk,butter,soda,dishes,newspapers,flower (seeds)"
1283,"pork,tropical fruit,root vegetables,onions,other vegetables,whole milk,butter,whipped/sour cream,soft cheese,sliced cheese,ice cream,semi-finished bread,soda,newspapers"
1284,soda
1285,"root vegetables,rolls/buns,margarine,soda,bottled beer"
1286,"whipped/sour cream,beverages,fruit/vegetable juice,chocolate"
1287,chocolate
1288,"whole milk,frozen vegetables,specialty chocolate"
1289,"pork,beef,whole milk,curd,rolls/buns,pastry"
1290,"coffee,shopping bags"
1291,"rolls/buns,waffles"
1292,"citrus fruit,other vegetables,whole milk,yogurt,hard cheese,specialty cheese,rolls/buns,flour,cat food"
1293,"citrus fruit,yogurt,brown bread,pasta"
1294,"soda,chocolate,specialty chocolate,newspapers,shopping bags"
1295,"cream cheese,rolls/buns"
1296,soda
1297,"chicken,whipped/sour cream,coffee,shopping bags"
1298,frozen fish
1299,"sausage,meat,chicken,root vegetables,other vegetables,whole milk,salt,salty snack"
1300,"beef,berries,other vegetables,white bread,shopping bags"
1301,"ham,whole milk,hard cheese,frozen meals,rolls/buns,rice,soups,baking powder,canned vegetables,bottled beer,female sanitary products"
1302,"chicken,pork,root vegetables,onions,packaged fruit/vegetables,butter,hard cheese,salt,bottled water,bottled beer"
1303,"herbs,other vegetables,whole milk,butter,white bread,margarine,misc. beverages,hygiene articles,shopping bags"
1304,"grapes,root vegetables"
1305,"tropical fruit,pip fruit,whole milk,chewing gum,chocolate"
1306,"frankfurter,meat,tropical fruit,berries,other vegetables,whole milk,whipped/sour cream,domestic eggs,margarine,ketchup,misc. beverages,canned beer,salty snack"
1307,"onions,other vegetables,rolls/buns,salt,chocolate,specialty bar,shopping bags"
1308,"sausage,organic sausage,citrus fruit,berries,yogurt,whipped/sour cream,domestic eggs,rolls/buns,canned vegetables,salty snack,newspapers"
1309,"citrus fruit,other vegetables,soft cheese,rolls/buns,pastry,canned beer,newspapers"
1310,"hamburger meat,pastry,soda,canned beer,detergent,softener,hygiene articles,shopping bags"
1311,"frankfurter,root vegetables,other vegetables,whole milk,whipped/sour cream,sliced cheese,frozen meals,frozen dessert,flour,sugar,coffee,cleaner,shopping bags"
1312,"sausage,pork"
1313,"root vegetables,other vegetables,yogurt"
1314,"oil,dish cleaner,newspapers"
1315,canned beer
1316,newspapers
1317,"pip fruit,root vegetables,other vegetables,whole milk,chewing gum,kitchen towels"
1318,coffee
1319,"red/blush wine,specialty chocolate"
1320,"onions,vinegar,pet care,specialty bar"
1321,"frankfurter,berries,other vegetables,whole milk,soft cheese,domestic eggs,rolls/buns,brown bread,pastry,shopping bags"
1322,"meat,beef,tropical fruit,pip fruit,berries,other vegetables,whole milk,white bread,brown bread,sugar,detergent"
1323,"whole milk,canned fish,soda,bottled beer,hygiene articles,candles"
1324,"dessert,dishes"
1325,"hamburger meat,baking powder,sweet spreads"
1326,"chewing gum,napkins,dishes"
1327,"bottled water,fruit/vegetable juice,bottled beer,prosecco"
1328,"beverages,pastry,long life bakery product,chocolate marshmallow"
1329,"whole milk,yogurt,frozen meals,sugar,coffee,bottled water,fruit/vegetable juice,bottled beer,salty snack"
1330,"citrus fruit,pip fruit,grapes,other vegetables,dessert,butter milk,yogurt,domestic eggs,flour,oil,sugar,ketchup,detergent,dish cleaner"
1331,"tropical fruit,whole milk,hard cheese,rolls/buns,cat food,bottled water,dish cleaner"
1332,"cat food,soda"
1333,"whole milk,beverages,pastry,soda"
1334,"soda,fruit/vegetable juice"
1335,"sausage,yogurt,salty snack"
1336,"root vegetables,whole milk,butter,yogurt,whipped/sour cream,soft cheese,cream cheese,domestic eggs,brown bread,jam,misc. beverages,fruit/vegetable juice,napkins,potted plants"
1337,"berries,other vegetables,butter milk,yogurt,soda,newspapers"
1338,other vegetables
1339,"sausage,pip fruit,root vegetables,bottled beer,abrasive cleaner,light bulbs"
1340,"beverages,bottled water,misc. beverages"
1341,"chicken,root vegetables,roll products,vinegar,shopping bags"
1342,"whole milk,yogurt,chocolate"
1343,"sausage,hard cheese,rolls/buns,canned vegetables,dog food"
1344,"ham,hamburger meat,citrus fruit,root vegetables,onions,other vegetables,whole milk,white bread,brown bread,sugar,soda,red/blush wine,dishes,shopping bags"
1345,"whole milk,brown bread"
1346,"root vegetables,onions,whole milk,bottled water,dishes"
1347,"citrus fruit,frozen potato products"
1348,"frankfurter,chicken,butter,dessert,butter milk,ice cream,pastry,oil,margarine,soda,salty snack,chocolate,chocolate marshmallow,detergent,hygiene articles,napkins,potted plants"
1349,"ice cream,salty snack,waffles"
1350,"sausage,ham,meat,chicken,tropical fruit,other vegetables,whole milk,butter,yogurt,cream cheese,frozen vegetables,domestic eggs,rolls/buns,brown bread,semi-finished bread,candy,newspapers"
1351,"root vegetables,fruit/vegetable juice,long life bakery product,potted plants"
1352,"ham,tropical fruit,grapes,onions,other vegetables,yogurt,whipped/sour cream,soft cheese,sliced cheese,frozen vegetables,white bread,pastry,semi-finished bread,oil,cat food,bottled water,fruit/vegetable juice,detergent,house keeping products"
1353,coffee
1354,"citrus fruit,frozen meals,canned beer,red/blush wine,salty snack"
1355,potted plants
1356,"other vegetables,chocolate"
1357,"whole milk,white bread,pastry"
1358,"zwieback,oil,mustard,chocolate"
1359,"chicken,other vegetables,whole milk,domestic eggs,pastry,canned beer"
1360,"butter,yogurt,dog food"
1361,"ham,dessert,frozen meals,frozen dessert,white bread,sweet spreads,soda,long life bakery product,specialty bar,hygiene articles,newspapers,shopping bags"
1362,"whole milk,butter milk,soda,chewing gum,shopping bags"
1363,"citrus fruit,misc. beverages,liquor,cling film/bags"
1364,"ham,herbs,other vegetables,curd,yogurt,cream cheese,light bulbs"
1365,canned beer
1366,"frankfurter,packaged fruit/vegetables,brown bread,margarine,waffles"
1367,"chicken,tropical fruit,candy,shopping bags"
1368,"frankfurter,bottled beer"
1369,bottled beer
1370,"other vegetables,cream cheese,coffee,dishes"
1371,frozen potato products
1372,"chicken,whole milk"
1373,"sausage,meat,grapes,other vegetables,yogurt,soft cheese,domestic eggs,rolls/buns,margarine,soda,chocolate"
1374,canned beer
1375,"yogurt,chocolate"
1376,"frozen meals,pet care,soda"
1377,"canned fruit,meat spreads,bottled water"
1378,"butter,waffles,chocolate"
1379,"yogurt,pastry,semi-finished bread,soda,shopping bags"
1380,"citrus fruit,whole milk,soft cheese,canned beer"
1381,"meat,yogurt"
1382,"root vegetables,butter,frozen vegetables,salty snack"
1383,"frankfurter,sausage,whole milk,butter,dessert,pastry,fruit/vegetable juice"
1384,"tropical fruit,other vegetables,packaged fruit/vegetables,whole milk,frozen meals,white bread,instant coffee,soda,female sanitary products,newspapers,potted plants,shopping bags"
1385,"yogurt,sugar,instant coffee"
1386,"root vegetables,other vegetables,white bread,sparkling wine"
1387,"yogurt,rolls/buns,pastry,soda"
1388,oil
1389,"citrus fruit,pip fruit,grapes,berries,soft cheese,rolls/buns,oil,shopping bags"
1390,"beef,root vegetables,whole milk,butter milk,yogurt,beverages,cream cheese,sweet spreads,soda,chocolate"
1391,"citrus fruit,onions,other vegetables,whole milk,cream cheese,domestic eggs,sugar,bottled water,bottled beer,long life bakery product,seasonal products,napkins"
1392,"dessert,misc. beverages"
1393,"curd,jam,shopping bags"
1394,bottled water
1395,"sausage,domestic eggs,coffee,soda"
1396,herbs
1397,"dog food,soda,fruit/vegetable juice,bottled beer"
1398,"packaged fruit/vegetables,whole milk,pastry,bottled water,soda,misc. beverages,chewing gum,specialty bar,hygiene articles,potted plants,shopping bags"
1399,"frankfurter,pork,specialty fat,specialty bar"
1400,"finished products,beef,tropical fruit,spread cheese,rolls/buns,waffles,chocolate,specialty chocolate,hair spray,shopping bags"
1401,oil
1402,curd
1403,"herbs,potted plants"
1404,"sausage,other vegetables,sliced cheese,rolls/buns,coffee,soda,shopping bags"
1405,"whole milk,sugar,pudding powder"
1406,"sausage,waffles"
1407,soda
1408,"whole milk,bottled water,soda,canned beer"
1409,"root vegetables,whole milk,brown bread,brandy,detergent,dish cleaner,female sanitary products,napkins,shopping bags"
1410,sugar
1411,"cream cheese,dishes"
1412,"other vegetables,misc. beverages,long life bakery product,chocolate,candy,shopping bags"
1413,"frozen fruits,detergent"
1414,whipped/sour cream
1415,yogurt
1416,"pork,beef,other vegetables,yogurt,shopping bags"
1417,"grapes,butter,domestic eggs,salt,sugar,baking powder"
